what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384933992398
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384933993840
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384933996765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934002717
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934004633
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934005293
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934006019
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934009502
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934010551
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934010778
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934014793
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1384934015071
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934025073
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934026597
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1384934028664
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1384934035186
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934035828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934037720
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1384934038963
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1384934042839
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1384934044148
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934046632
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934047906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1384934050329
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1384934052173
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1384934054059
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1384934057886
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1384934058076
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1384934060167
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934069425
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934069858
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934070689
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934073143
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1384934075734
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1384934080734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934084644
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934089946
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1384934090944
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1384934091113
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934096153
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1384934096640
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1384934098636
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1384934099604
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1384934099785
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1384934099948
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1384934100108
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1384934100711
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1384934101521
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1384934102231
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1384934102424
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1384934102564
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1384934102734
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1384934103144
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1384934103841
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1384934104071
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1384934104386
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1384934104857
